rollNo,name,cgpa,quizMarks,location
b190298cs,Arch,6.310000,98.000000,Telangana
b190299cs,Asa,9.090000,88.000000,Tamilnadu
b190300cs,Clayton,6.800000,91.000000,Gujarat
b190301cs,Enoch,8.040000,99.000000,Tamilnadu
b190304cs,Nathaniel,7.470000,98.000000,Gujarat
b190305cs,Scott,9.660000,89.000000,Tamilnadu
b190306cs,Hubert,7.730000,94.000000,Telangana
b190308cs,Andy,6.570000,100.000000,Telangana
b190310cs,Emanuel,6.860000,88.000000,Gujarat
b190312cs,Millard,8.460000,99.000000,Kerala
b190315cs,Cyrus,6.820000,94.000000,Kerala
b190316cs,Miles,6.500000,91.000000,Gujarat
b190320cs,Bill,7.980000,95.000000,Tamilnadu
b190323cs,Monroe,6.080000,98.000000,Telangana
b190325cs,Edd,9.590000,99.000000,Tamilnadu
b190327cs,Grant,8.520000,90.000000,Telangana
b190335cs,Chris,6.930000,99.000000,Tamilnadu
b190340cs,Bruce,6.740000,97.000000,Kerala
b190342cs,Preston,7.220000,94.000000,Gujarat
b190344cs,Dock,7.690000,90.000000,Gujarat
b190347cs,Cecil,7.550000,98.000000,Mizoram
b190348cs,Barney,7.210000,98.000000,Mizoram
b190351cs,Anderson,6.560000,96.000000,Tamilnadu
b190352cs,Christian,9.430000,91.000000,Telangana
b190354cs,Jefferson,7.510000,87.000000,Gujarat
b190356cs,Neal,8.190000,94.000000,Mizoram
b190357cs,Burt,9.120000,88.000000,Gujarat
b190362cs,Joel,9.640000,91.000000,Tamilnadu
b190366cs,Emory,7.730000,87.000000,Gujarat
b190368cs,Nick,7.840000,96.000000,Mizoram
b190372cs,Clifton,7.970000,97.000000,Tamilnadu
b190376cs,Bud,8.690000,89.000000,Kerala
b190377cs,Jeremiah,9.330000,87.000000,Kerala
b190378cs,Taylor,7.440000,90.000000,Mizoram
b190379cs,Forrest,6.950000,89.000000,Tamilnadu
b190380cs,Roland,7.180000,88.000000,Kerala
b190383cs,Don,6.870000,89.000000,Kerala
b190385cs,Gustav,6.690000,86.000000,Mizoram
b190386cs,Louie,7.090000,99.000000,Gujarat
b190387cs,Morgan,9.340000,91.000000,Gujarat
b190388cs,Ned,6.950000,88.000000,Tamilnadu
b190393cs,Ferdinand,6.180000,94.000000,Gujarat
b190394cs,General,8.600000,97.000000,Gujarat
b190396cs,Kenneth,8.310000,89.000000,Mizoram
b190399cs,Josh,7.760000,94.000000,Mizoram
b190402cs,Napoleon,7.090000,90.000000,Gujarat
b190404cs,Berry,9.550000,99.000000,Tamilnadu
b190406cs,Ervin,6.510000,94.000000,Telangana
b190407cs,Forest,9.920000,97.000000,Telangana
b190408cs,Lynn,7.650000,93.000000,Tamilnadu
b190409cs,Pink,9.850000,92.000000,Tamilnadu
b190413cs,Douglas,7.630000,86.000000,Tamilnadu
b190414cs,Ole,9.690000,91.000000,Gujarat
b190416cs,Ulysses,7.790000,92.000000,Kerala
b190417cs,Walker,9.790000,97.000000,Gujarat
b190418cs,Wilbert,7.210000,91.000000,Gujarat
b190419cs,Adelbert,8.390000,86.000000,Mizoram
b190422cs,Jonas,7.310000,96.000000,Gujarat
b190423cs,Major,9.860000,95.000000,Kerala
b190426cs,Caleb,8.170000,86.000000,Gujarat
b190431cs,Mary,6.840000,99.000000,Gujarat
b190432cs,Merton,6.190000,86.000000,Mizoram
b190433cs,Antonio,6.840000,95.000000,Tamilnadu
b190436cs,Freeman,7.100000,99.000000,Gujarat
b190440cs,Dick,9.610000,94.000000,Mizoram
b190442cs,Elza,8.910000,94.000000,Mizoram
b190443cs,Emerson,7.610000,90.000000,Tamilnadu
b190444cs,Fletcher,6.100000,96.000000,Mizoram
b190445cs,Judge,7.030000,99.000000,Tamilnadu
b190446cs,Laurence,9.040000,88.000000,Mizoram
b190449cs,Seth,6.220000,94.000000,Gujarat
b190450cs,Glen,8.480000,89.000000,Tamilnadu
b190451cs,Hugo,9.150000,97.000000,Telangana
b190452cs,Jimmie,9.080000,97.000000,Mizoram
b190454cs,Washington,8.130000,96.000000,Kerala
b190456cs,Gust,8.730000,99.000000,Mizoram
b190457cs,Harmon,8.360000,87.000000,Tamilnadu
b190458cs,Jordan,9.420000,87.000000,Kerala
b190459cs,Simeon,8.450000,99.000000,Kerala
b190460cs,Wayne,6.530000,98.000000,Mizoram
b190463cs,Evan,6.780000,86.000000,Gujarat
b190464cs,Frederic,8.960000,97.000000,Telangana
b190466cs,Junius,8.450000,95.000000,Tamilnadu
b190467cs,Lafayette,6.320000,91.000000,Telangana
b190471cs,Orval,8.350000,94.000000,Gujarat
b190472cs,Abram,8.280000,86.000000,Mizoram
b190473cs,Aubrey,9.420000,86.000000,Mizoram
b190476cs,Karl,8.690000,92.000000,Gujarat
b190478cs,Wash,6.460000,97.000000,Tamilnadu
b190480cs,Allan,8.530000,96.000000,Kerala
b190481cs,Alphonse,6.660000,87.000000,Mizoram
b190482cs,Dallas,7.520000,93.000000,Kerala
b190483cs,Dee,7.030000,100.000000,Tamilnadu
b190485cs,Jason,9.260000,94.000000,Kerala
b190486cs,Johnny,9.800000,94.000000,Tamilnadu
b190490cs,Orin,7.580000,93.000000,Kerala
b190491cs,Addison,8.880000,87.000000,Mizoram
b190492cs,Cal,8.320000,99.000000,Mizoram
b190493cs,Erastus,7.680000,95.000000,Tamilnadu
b190495cs,Hardy,7.200000,86.000000,Mizoram
b190496cs,Lucien,6.510000,94.000000,Mizoram
b190497cs,Randolph,8.170000,98.000000,Kerala
b190498cs,Stewart,9.960000,88.000000,Tamilnadu
b190500cs,Wilmer,7.180000,98.000000,Tamilnadu
b190501cs,Zack,7.840000,95.000000,Mizoram
b190502cs,Adrian,9.790000,98.000000,Kerala
b190504cs,Bertram,7.110000,87.000000,Kerala
b190505cs,Clay,6.380000,87.000000,Mizoram
b190508cs,Giles,6.150000,86.000000,Mizoram
b190509cs,Grover,8.510000,88.000000,Telangana
b190511cs,Isom,9.760000,91.000000,Telangana
b190512cs,Jesus,8.780000,92.000000,Tamilnadu
b190516cs,Malcolm,8.670000,97.000000,Kerala
b190520cs,Rolla,7.290000,92.000000,Tamilnadu
b190522cs,Tomas,8.040000,91.000000,Kerala
b190523cs,Wilford,9.410000,88.000000,Telangana
b190525cs,Angus,7.920000,93.000000,Mizoram
b190528cs,Cary,9.410000,100.000000,Mizoram
b190531cs,Hamilton,7.510000,93.000000,Gujarat
b190532cs,Harve,7.210000,90.000000,Kerala
b190534cs,Leander,6.680000,92.000000,Kerala
b190538cs,Pleasant,7.610000,95.000000,Telangana
b190541cs,Axel,9.160000,93.000000,Telangana
b190546cs,Ezekiel,7.290000,97.000000,Tamilnadu
b190547cs,Foster,9.950000,90.000000,Kerala
b190548cs,Frances,8.090000,90.000000,Gujarat
b190551cs,Issac,8.070000,92.000000,Kerala
b190553cs,Larkin,7.600000,91.000000,Telangana
b190555cs,Morton,8.580000,92.000000,Telangana
b190557cs,Pierce,8.170000,100.000000,Tamilnadu
b190559cs,Rollie,6.070000,90.000000,Mizoram
b190560cs,Rollin,6.520000,96.000000,Mizoram
b190561cs,Sim,9.830000,97.000000,Tamilnadu
b190562cs,Stuart,7.870000,92.000000,Kerala
b190565cs,Casper,8.910000,87.000000,Kerala
b190566cs,Christ,7.840000,95.000000,Telangana
b190568cs,Egbert,7.240000,98.000000,Telangana
b190570cs,Fay,7.060000,98.000000,Kerala
b190571cs,Gabriel,6.660000,97.000000,Mizoram
b190572cs,Hector,6.700000,92.000000,Telangana
b190574cs,Lige,9.550000,87.000000,Tamilnadu
b190576cs,Smith,6.330000,98.000000,Kerala
b190577cs,Squire,6.160000,99.000000,Tamilnadu
b190579cs,Tommie,9.040000,88.000000,Kerala
b190580cs,Wyatt,7.440000,88.000000,Kerala
b190583cs,Alton,8.740000,86.000000,Mizoram
b190584cs,Andres,7.650000,99.000000,Tamilnadu
b190585cs,Burl,7.440000,97.000000,Gujarat
b190586cs,Cicero,6.150000,87.000000,Tamilnadu
b190588cs,Dorsey,9.390000,87.000000,Gujarat
b190589cs,Enos,9.260000,100.000000,Telangana
b190590cs,Howell,8.120000,87.000000,Telangana
b190592cs,Loyd,7.730000,86.000000,Telangana
b190596cs,Oran,9.750000,99.000000,Mizoram
b190598cs,Raleigh,8.520000,97.000000,Telangana
